schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5H,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,11,2A5H,2A5H,2A5H,explicit,false,exposition,2A5H,2A5H,291,354,295,362,9885,12620,10526,13461,0ab0f0e2db36e87c85fc0888d520dd42bb43f221af87b5bdff82792b41e864f0,e4f792ae70457436d01976d726937ea066e48ffa98045ae6ac80f6498ef2f133,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5I,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,12,2A5I,2A5I,2A5I,explicit,false,exposition,2A5I,2A5I,355,360,363,368,12620,12880,13461,13759,5127a96ec93dcebee1d47301c1bf50a74e472c3871762f82210ab75bbf139c92,681f98e33e4e648d23f44a18c0c8eda4cc4ce70128dc576f7e266db34fed635c,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IA,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,13,2A5Ia,2A5Ia,2A5Ia,explicit,false,exposition,2A5Ia,2A5Ia,361,367,369,375,12880,13174,13759,14079,5ed35536512289948806c67c582fb658d9ee89973a43d76ef17852b4754c0733,18d5aa4501c25cd38d60c5a405beb9196659ad5cd32b346c0cff47793e2ce267,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IB,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,14,2A5Ib,2A5Ib,2A5Ib,explicit,false,exposition,2A5Ib,2A5Ib,368,374,376,382,13174,13475,14079,14441,0483355aa02baa2e54c015802836b80b90619dc5267cdb11721308b74c7aed4b,a0f8de6e34a5fe935cec20fd7216f6ea34c24467c5259892cb6a07acae016038,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IC,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,15,2A5Ic,2A5Ic,2A5Ic,explicit,false,exposition,2A5Ic,2A5Ic,375,382,383,390,13475,13857,14441,14869,8ed13ea8fae4a93d26b981d14f90fe74b65bc42b332b6d585bc1b718fe237394,1436d2d790dc00023f32e3f943eb3906e5743aeca9438740ac66256e85a90615,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5ID,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,16,2A5Id,2A5Id,2A5Id,explicit,false,exposition,2A5Id,2A5Id,383,385,391,394,13857,13992,14869,15037,5b5b7377bbe0252a5bcd31b93e297d0caa473482576527f2ddf9c3e77080b977,39d243271d823f4289204c8fd6f2db985a03f601bba14aca492d73b4e76d1e3b,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IE,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,17,2A5Ie,2A5Ie,2A5Ie,explicit,false,exposition,2A5Ie,2A5Ie,386,396,395,404,13992,14561,15037,15659,a24744ef162b4befd07e92b55a7d782c174ca210c97e2b9dc159a6bcc78ac65e,e345d47e5f396a7ae15da2cbffefa4f9d6f26fcd903429799f78b0ffb4961b9e,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IF,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,18,2A5If,2A5If,2A5If,explicit,false,exposition,2A5If,2A5If,397,407,405,415,14561,15056,15659,16161,57b686b026a868261d9671d3a58ddc49bfcbc4d8c76bf2d38378e2e582be5ebf,ed7a50c1e2cd7f44aacce361a3d48693d3a72a3b9a97db06c74305251b82819a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5IG,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,19,2A5Ig,2A5Ig,2A5Ig,explicit,false,exposition,2A5Ig,2A5Ig,408,420,416,430,15056,15827,16161,17019,50e66d785835ed77e4f409ea1f37ef7aa52cd447660034974b80280645d493a6,5253a1acef948ac78b6848f482f43e6ec34e3ef91d88983ae1f9f2210c0c56c9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5J,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,20,*2A5J,*2A5J,*2A5J,explicit,false,exposition,*2A5J,*2A5J,421,441,431,450,15827,16942,17019,18221,576127ed290b0f828e9b61371dbd54dc74088ef5ad2c7e31ec13433d50748c9a,cfdf7772c91e7c1fbe010cadac5f31803f1b551e836760d70a01c970ae597d76,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
