schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-011,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XA,definition-reference,O007-FREMLIN-V1-S112-SEG-112DF,11,113X,113Xa,112Df,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt113.tex:242: the sense of 112Df.,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-012,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XF,appendix-reference,,12,113Xf,113Xf,1A1Bc,selected-corpus-pending,"authority/fremlin/source/mt1.2011/mt113.tex:281: (1A1Bc).   Explain how this is a common generalization of (c),","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-013,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YC,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YA,13,113Yc,113Yc,113Ya,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:321: associated outer measure on $X$, as in 113Ya.   Let $\check\mu$ be the","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-014,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YD,result-clause-reference,O007-FREMLIN-V1-S111-SEG-111F,14,113Yd,113Yd,111F(b-ii),resolved-in-corpus,authority/fremlin/source/mt1.2011/mt113.tex:337: will need 111F(b-ii) or something equivalent.},"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-015,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YE,exercise-clause-reference,O007-FREMLIN-V1-S113-SEG-113XB,15,113Ye,113Ye,113Xb(iii),resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:341: described in 113Xb(iii), is the outer measure derived by the process of","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-016,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YE,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YD,16,113Ye,113Ye,113Yd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:342: 113Yd from the functional $\tau C=\min(\theta_1C,\theta_2C)$.","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-017,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YF,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YD,17,113Yf,113Yf,113Yd,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:348: process of 113Yd is the largest outer measure $\theta$ such that,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-018,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YH,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YG,18,113Yh,113Yh,113Yg,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:377: 113Yg, and that if $\mu X<\infty$ then the measure defined from $\mu_*$","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-019,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YH,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YG,19,113Yh,113Yh,113Yg,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:378: by the method of 113Yg extends $\mu$.,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-020,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YI,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YD,20,113Yi,113Yi,113Yd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:402: define $\theta$ from $\phi$ as in 113Yd, and $\mu$ from $\theta$.}","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-021,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YK,exercise-reference,O007-FREMLIN-V1-S113-SEG-113YD,21,113Yk,113Yk,113Yd,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:413: $\theta$ be as in 113Yd;  let $\mu$ be the measure defined by,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-022,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,result-reference,O007-FREMLIN-V1-S113-SEG-113C,22,113,113,113C,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:424: but in my view \Caratheodory's method (113C) is the right one to begin,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-023,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,exercise-reference,O007-FREMLIN-V1-S113-SEG-113XH,23,113,113,113Xh,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:436: a proof of 113Xh.   Outer measures of various kinds appear throughout,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-024,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,exercise-group-range-reference,O007-FREMLIN-V1-S113-SEG-113X,24,113,113,113X,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:438: 113X-113Y.,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-025,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,exercise-group-range-reference,O007-FREMLIN-V1-S113-SEG-113Y,25,113,113,113Y,resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:438: 113X-113Y.,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
